id,source,target,similarity
3784,3043507956,3052032968,1
3785,2883583489,741575693646102528,1
3786,2282325169,2411128484,1
3787,4531076896,66856037,0.707107
3788,102397536,1669932314,1
3789,302174491,736750781093707776,0.57735
3790,29049770,3305171909,0.707107
3791,3075632478,824450408,0.5
3792,723261255570608128,75392146,1
3793,3235220435,705814755869470720,0.707107
3794,185622716,2892368815,1
3795,15755071,733803430007955456,0.942809
3796,2853872685,937019478,1
3797,26686224,28615971,1
3798,1975427846,1977828739,1
3799,2411128484,920798731,1
3800,15502903,442077506,1
3801,1974830538,1974981223,1
3802,2488878284,88893451,1
3803,250704226,2853872685,1
3804,1969712454,1974830538,1
3805,785317194695577605,98206010,0.707107
3806,242157832,242171965,1
3807,17753712,757364653014016000,0.57735
3808,2691309440,48670786,1
3809,2853872685,723251650174017536,0.5
3810,594937448,703700133742034946,1
3811,1057363958,18727629,1
3812,4861278086,733803430007955456,1
3813,3340908196,937019478,0.816497
3814,4776169636,723251650174017536,0.5
3815,720309635853365249,758491329894748160,1
3816,185622716,618587448,1
3817,2493287096,592185078,1
3818,75331878,797794080180895744,0.223607
3819,613796565,80965639,1
3820,2415685429,45838753,1
3821,1970627820,1977828739,1
3822,325053871,772591272993361920,1
3823,1969634864,1978022473,1
3824,1974868602,4547154629,1
3825,384005220,861445200,0.57735
3826,1669932314,780646765829562369,0.377964
3827,2863716447,61176427,0.5
3828,255988147,3340908196,0.816497
3829,3075632478,786374824948105216,0.707107
3830,767862828,769208504,0.666667
3831,1978022473,3037298239,1
3832,2863716447,98764683,0.866025
3833,1032058076,3380406579,0.5
3834,1969712454,1971211453,1
3835,2863716447,713026548014694400,0.866025
3836,1970627820,1975427846,1
3837,1975395252,4547154629,1
3838,397467224,884311340,1
3839,31288110,713026548014694400,0.408248
3840,122448174,2848705919,1
3841,618055731,723251650174017536,0.458831
3842,1255475023,75392146,1
3843,1977169441,3037298239,1
3844,155223088,933182024,1
3845,2506040580,3389604502,0.5
3846,11886822,16548855,0.707107
3847,42624414,704506110665990144,1
3848,2446943442,4776169636,1
3849,36783236,723261255570608128,0.866025
3850,1975395252,1977061699,1
3851,780655483002630144,884311340,1
3852,309004477,4654741997,0.57735
3853,442077506,723251650174017536,0.5
3854,1171556562,17309168,0.288675
3855,2997250788,4861278086,0.288675
3856,104572917,295851843,1
3857,1900286719,1975427846,1
3858,2955544497,3404728337,0.57735
3859,1558645760,93327360,1
3860,145856687,521754789,0.57735
3861,17309168,303709614,1
3862,120100776,874859443,0.25
3863,1969420729,1975427846,1
3864,1969368720,1977169441,1
3865,222566126,45608857,0.5
3866,313775431,95502178,0.408248
3867,712405808789757953,741575693646102528,1
3868,723261255570608128,797176328,0.408248
3869,390208861,742664931217178624,0.447214
3870,1407958339,4559222536,0.447214
3871,18067164,2493287096,1
3872,242157832,88893451,1
3873,1971211453,4547154629,1
3874,3043507956,4547154629,1
3875,1969712454,1969769202,1
3876,610955831,759146049760100352,1
3877,1549759548,15755071,0.942809
3878,1040408522,352280876,1
3879,1173756973,2777610968,1
3880,1173756973,205897486,0.707107
3881,1173756973,463422854,1
3882,44959884,742664931217178624,0.707107
3883,1535438408,3411044242,1
3884,4861278086,521754789,0.57735
3885,1974830538,1977910574,1
3886,18067164,627865229,0.707107
3887,2856154741,287260619,1
3888,292236047,904349491,1
3889,461957191,62240352,1
3890,245573252,88893451,1
3891,805905864,80965639,1
3892,1969712454,1975427846,1
3893,2997250788,365819232,0.288675
3894,15502903,3340908196,0.816497
3895,713026548014694400,797176328,0.408248
3896,1180622503,723251650174017536,0.5
3897,1974981223,3037298239,1
3898,365819232,75392146,1
3899,1969712454,1975455086,1
3900,733803430007955456,797176328,0.408248
3901,17309168,4654741997,0.57735
3902,1338726187,2864142413,1
3903,1900286719,1970627820,1
3904,185506203,27741488,0.707107
3905,1971211453,1977140114,1
3906,1558645760,29049770,0.707107
3907,3377478999,98206010,1
3908,122025735,4776169636,1
3909,1973545422,1978022473,1
3910,1389790676,153283018,0.57735
3911,265245636,28615971,1
3912,521754789,797176328,0.707107
3913,1977061699,1977169441,1
3914,3104917149,779254002294878208,1
3915,1180622503,291846447,1
3916,26686224,704506110665990144,1
3917,1900286719,1977169441,1
3918,265245636,4562200215,1
3919,3718042757,786374824948105216,0.707107
3920,16561729,34705680,1
3921,351231296,776879232106594305,0.333333
3922,723261255570608128,774686030406365184,0.866025
3923,1974125191,1974830538,1
3924,2882182229,3404728337,0.57735
3925,45608857,874859443,0.25
3926,2831617950,384005220,0.57735
3927,1970627820,1973545422,1
3928,1549759548,755547494369660928,1
3929,3403356761,786374824948105216,0.707107
3930,1049978412,762654585660051456,1
3931,2863716447,2997250788,0.25
3932,2848705919,937019478,1
3933,2493287096,2496377724,1
3934,185622716,461803364,1
3935,179912146,19855764,1
3936,445861289,733803430007955456,1
3937,247304584,766735508865032192,0.333333
3938,2858541770,4041329212,1
3939,445861289,4861278086,1
3940,3843064953,739907462,0.707107
3941,1104128448,2859241221,1
3942,2694972208,328440716,1
3943,88718119,93327360,1
3944,1180622503,2853872685,1
3945,773798108,920798731,1
3946,309004477,313775431,0.408248
3947,1969634864,1975455086,1
3948,222566126,2506040580,0.5
3949,1974868602,1975427846,1
3950,2853872685,618055731,0.917663
3951,237977063,32682040,0.707107
3952,3413198241,4861278086,0.333333
3953,1265666203,2694972208,1
3954,137165451,4865253027,1
3955,227490287,3340908196,0.816497
3956,4861278086,757364653014016000,0.666667
3957,4861278086,723261255570608128,1
3958,247304584,68741628,1
3959,704506110665990144,805905864,1
3960,134552828,762654585660051456,0.707107
3961,245573252,720875149,1
3962,15502903,227490287,1
3963,26686224,701164616093712387,1
3964,1969420729,4547154629,1
3965,442077506,937019478,1
3966,328484372,4041329212,1
3967,3411044242,738509183952113664,1
3968,40227122,755547494369660928,0.866025
3969,292236047,352280876,1
3970,2319339266,939190178,0.408248
3971,255988147,4776169636,1
3972,3718042757,755817136703082500,1
3973,1668265830,3404728337,0.57735
3974,270921976,2902080735,1
3975,16548855,2506040580,0.707107
3976,1324655137,2278717689,1
3977,2463270592,774686030406365184,0.5
3978,75392146,797176328,0.408248
3979,122025735,2848705919,1
3980,3235220435,328440716,0.707107
3981,1549759548,774686030406365184,0.866025
3982,2997250788,757364653014016000,0.288675
3983,4562200215,80965639,1
3984,2749640440,704506110665990144,1
3985,120100776,3075632478,0.707107
3986,11886822,786374824948105216,0.5
3987,1974981223,4547154629,1
3988,291846447,3340908196,0.816497
3989,87481029,88893451,1
3990,2496377724,592185078,1
3991,755547494369660928,797176328,0.408248
3992,2892368815,4419316115,1
3993,1389790676,785317194695577605,0.707107
3994,16548855,3075632478,1
3995,1900286719,1971211453,1
3996,18018468,2415685429,1
3997,1969712454,1978022473,1
3998,1975427846,3052032968,1
3999,4090001897,723251650174017536,0.707107
4000,723261255570608128,755547494369660928,1
4001,153283018,3798312976,0.57735
4002,1854497286,874859443,0.204124
4003,1969368720,3037298239,1
4004,18707435,3305171909,1
4005,16548855,2992942526,0.707107
4006,221963057,3404728337,0.57735
4007,120100776,3389604502,0.5
4008,2863716447,75392146,0.866025
4009,102635510,390208861,0.447214
4010,1104128448,45838753,1
4011,28615971,805905864,1
4012,227490287,618055731,0.917663
4013,592185078,627865229,0.707107
4014,1173756973,26235861,1
4015,2863716447,757364653014016000,0.57735
4016,1047497299,292236047,1
4017,713026548014694400,723261255570608128,1
4018,1969769202,1978022473,1
4019,15502903,723251650174017536,0.5
4020,1407958339,3201162010,1
4021,2859034936,3331551052,1
4022,11886822,253677176,0.5
4023,15502903,4776169636,1
4024,16561729,632873556,1
4025,2248582168,303999844,1
4026,4521330855,874859443,0.176777
4027,242171965,78583942,1
4028,2882182229,384005220,0.57735
4029,1180622503,15502903,1
4030,3404728337,65632975,0.57735
4031,1969712454,1970627820,1
4032,26686224,42624414,1
4033,1975427846,1978022473,1
4034,1974188150,1977910574,1
4035,2446943442,255988147,1
4036,2997250788,36783236,0.25
4037,2165136621,317838653,1
4038,74265783,774686030406365184,0.5
4039,1969368720,1971211453,1
4040,3404728337,580975146,0.57735
4041,1974830538,4547154629,1
4042,365819232,40227122,0.866025
4043,780252826299666432,88718119,1
4044,2446943442,250704226,1
4045,31288110,4861278086,0.408248
4046,3300307786,4496549793,0.353553
4047,245573252,2488878284,1
4048,3340908196,442077506,0.816497
4049,2506040580,2992942526,0.5
4050,1180622503,207046341,0.707107
4051,1289813305,4090001897,1
4052,2165136621,44959884,0.707107
4053,2972875817,390208861,0.447214
4054,205897486,2777610968,0.707107
4055,11886822,3075632478,0.707107
4056,228463271,776879232106594305,0.408248
4057,365819232,774686030406365184,0.866025
4058,4419316115,461803364,1
4181,1977828739,3043507956,1
4059,4169033472,786374824948105216,0.707107
4060,155223088,88893451,1
4061,207046341,2848705919,0.707107
4062,3063952985,390208861,0.447214
4063,31288110,98764683,0.408248
4064,741575693646102528,779254002294878208,1
4065,1974188150,1974830538,1
4066,11886822,120100776,0.5
4067,365819232,4861278086,1
4068,108986439,1228600868,1
4069,2792672981,34705680,1
4070,227490287,937019478,1
4071,1969368720,1973545422,1
4072,1971211453,1974125191,1
4073,1971211453,1977169441,1
4074,701164616093712387,704506110665990144,1
4075,333565814,704506110665990144,1
4076,61176427,774686030406365184,0.5
4077,796782916491612160,874859443,0.176777
4078,1969769202,3052032968,1
4079,1900286719,1974981223,1
4080,1668265830,98206010,1
4081,2493287096,792803253406822400,1
4082,1535438408,796145502,0.5
4083,31288110,365819232,0.408248
4084,1549759548,36783236,0.866025
4085,708458185494040576,715135364600606720,1
4086,3037298239,3052032968,1
4087,40227122,757364653014016000,0.57735
4088,1974188150,3052032968,1
4089,2788001111,2997250788,0.707107
4090,712405808789757953,772591272993361920,1
4091,44959884,4559222536,0.316228
4092,255988147,937019478,1
4093,164833055,303709614,1
4094,3404728337,787002854338854917,0.57735
4095,122448174,207046341,0.707107
4096,287067120,920798731,1
4097,521754789,75392146,0.57735
4098,317838653,3825968584,1
4099,155223088,242171965,1
4100,250704226,255988147,1
4101,1255475023,723261255570608128,1
4102,274667122,3377478999,1
4103,118027407,247304584,1
4104,1900286719,1974830538,1
4105,1975395252,1975455086,1
4106,294825539,2997250788,0.5
4107,3377478999,580975146,1
4108,580975146,98206010,1
4109,2997250788,774686030406365184,0.25
4110,2863716447,74265783,0.5
4111,1047497299,2859034936,1
4112,222566126,992148966,0.5
4113,2863716447,521754789,0.5
4114,1549759548,2863716447,0.866025
4115,153283018,274667122,0.57735
4116,1040408522,2859034936,1
4117,245385426,618587448,1
4118,18018468,2859241221,1
4119,2863716447,40227122,0.75
4120,2691309440,67548991,1
4121,250704226,937019478,1
4122,287067120,424083365,1
4123,17309168,309004477,1
4124,145856687,733803430007955456,1
4125,3340908196,4776169636,0.816497
4126,42624414,4562200215,1
4127,153283018,785317194695577605,0.816497
4128,108986439,2327434344,1
4129,1974981223,1977828739,1
4130,1969769202,1971211453,1
4131,242171965,933182024,1
4132,200959708,85080476,1
4133,34705680,632873556,1
4134,265245636,613796565,1
4135,16548855,95220220,1
4136,122025735,2853872685,1
4137,134552828,3063952985,0.707107
4138,1974125191,1977061699,1
4139,2848705919,442077506,1
4140,134552828,194591543,0.707107
4141,1969368720,3043507956,1
4142,2211027127,483415153,0.447214
4143,1969712454,1974981223,1
4144,22071268,24784028,0.866025
4145,1049978412,18727629,1
4146,118165489,770309357875716096,1
4147,1974125191,1974981223,1
4148,1977140114,3037298239,1
4149,2859034936,904349491,1
4150,45838753,776635543614582784,1
4151,1049978412,1057363958,1
4152,120100776,824450408,0.353553
4153,2892368815,618587448,1
4154,1969634864,1969769202,1
4155,31288110,755547494369660928,0.408248
4156,250704226,618055731,0.917663
4157,3688970849,779254002294878208,1
4158,4861278086,713026548014694400,1
4159,224105222,4090001897,1
4160,1977140114,1977169441,1
4161,11886822,874859443,0.25
4162,2863716447,713063391900729344,0.5
4163,1228600868,155900566,1
4164,2461112153,797794080180895744,0.258199
4165,16548855,874859443,0.353553
4166,479604138,610955831,0.57735
4167,1969634864,1975395252,1
4168,2972875817,317838653,1
4169,365819232,521754789,0.57735
4170,1969769202,3037298239,1
4171,1978022473,3052032968,1
4172,1969420729,1977061699,1
4173,207046341,2853872685,0.707107
4174,1040408522,448250130,1
4175,1969712454,618839438,1
4176,304517257,3093907031,1
4177,1975395252,3037298239,1
4178,15755071,521754789,0.816497
4179,207046341,291846447,0.707107
4180,2864142413,779254002294878208,1
4182,1969420729,1974125191,1
4183,1970627820,1974188150,1
4184,1969420729,3037298239,1
4185,120100776,253677176,0.5
4186,31122582,930084780,0.707107
4187,1969368720,1974188150,1
4188,1057363958,762654585660051456,1
4189,117804245,767862828,0.707107
4190,1974868602,1975455086,1
4191,274667122,580975146,1
4192,298452157,720875149,1
4193,2506040580,45608857,0.5
4194,2848705919,723251650174017536,0.5
4195,521754789,723261255570608128,0.57735
4196,3387188439,787002854338854917,1
4197,218993498,3403356761,1
4198,824450408,95220220,0.5
4199,390208861,719939067136385024,0.447214
4200,445861289,757364653014016000,0.666667
4201,18707435,88718119,1
4202,746280547,797794080180895744,0.316228
4203,245573252,87481029,1
4204,205897486,3249313867,0.707107
4205,255988147,723251650174017536,0.5
4206,1974125191,1978022473,1
4207,3389604502,95220220,0.707107
4208,1975427846,1977061699,1
4209,1969769202,1977828739,1
4210,1969634864,1977828739,1
4211,758491329894748160,939190178,1
4212,1970627820,4547154629,1
4213,222566126,874859443,0.25
4214,1969420729,1974981223,1
4215,333565814,613796565,1
4216,155900566,746298368461275136,1
4217,3254856364,4419316115,1
4218,2749640440,28615971,1
4219,1969634864,1973545422,1
4220,1255475023,31288110,0.408248
4221,1171556562,2892484043,0.5
4222,1969634864,1970627820,1
4223,1171556562,164833055,0.288675
4224,3380406579,995443722,0.5
4225,16548855,253677176,0.707107
4226,1974981223,618839438,1
4227,317838653,4559222536,0.447214
4228,521754789,98764683,0.57735
4229,102397536,479604138,0.57735
4230,1347471457,93020729,0.707107
4231,3037298239,3043507956,1
4232,3305171909,749744611,1
4233,309004477,3380406579,0.288675
4234,47080825,720875149,1
4235,723251650174017536,746298368461275136,0.5
4236,31288110,774686030406365184,0.353553
4237,2691309440,720309635853365249,1
4238,15502903,250704226,1
4239,3055864294,4521330855,0.5
4240,445908382,477191708,1
4241,47080825,933182024,1
4242,75392146,757364653014016000,0.666667
4243,1969769202,1973545422,1
4244,701164616093712387,805905864,1
4245,16548855,45608857,0.707107
4246,1338726187,325053871,1
4247,18018468,776635543614582784,1
4248,2488878284,47080825,1
4249,26686224,333565814,1
4250,122025735,255988147,1
4251,1969420729,3043507956,1
4252,145856687,36783236,0.866025
4253,349632099,785317194695577605,0.707107
4254,1974188150,1977169441,1
4255,134552828,18727629,0.707107
4256,137165451,4531076896,0.707107
4257,2446943442,4264113897,1
4258,2488878284,78583942,1
4259,16561729,25377285,1
4260,249885589,28611453,1
4261,2278717689,3081581745,1
4262,3798312976,785317194695577605,0.707107
4263,1974868602,1977910574,1
4264,2892368815,461803364,1
4265,786374824948105216,992148966,0.5
4266,145856687,31288110,0.408248
4267,1969712454,4547154629,1
4268,120100776,2992942526,0.5
4269,1255475023,797176328,0.408248
4270,1549759548,365819232,1
4271,1180622503,442077506,1
4272,2863716447,774686030406365184,1
4273,74265783,75392146,0.57735
4274,1171556562,995443722,0.5
4275,1255475023,445861289,1
4276,222566126,95220220,0.707107
4277,3389604502,786374824948105216,0.5
4278,1977169441,4547154629,1
4279,353982259,892794858,1
4280,163001527,302174491,0.57735
4281,1974981223,3052032968,1
4282,723261255570608128,733803430007955456,1
4283,365819232,723261255570608128,1
4284,15755071,75392146,0.942809
4285,65632975,742826933075877889,0.707107
4286,755547494369660928,98764683,1
4287,1975455086,1977910574,1
4288,4496549793,797794080180895744,0.223607
4289,104572917,409116367,1
4290,2848705919,4776169636,1
4291,1057363958,93020729,1
4292,1969634864,1977140114,1
4293,3075632478,992148966,0.707107
4294,390208861,746736462050267136,0.447214
4295,1589798510,780646765829562369,0.377964
4296,1049978412,2607354599,1
4297,3331551052,352280876,1
4298,1255387315,564852155,1
4299,2955544497,65632975,1
4300,1289813305,224105222,1
4301,2777610968,463422854,1
4302,42624414,805905864,1
4303,1971211453,1974981223,1
4304,17753712,701846710381891584,1
4305,205897486,26235861,0.707107
4306,1228600868,2327434344,1
4307,1977169441,1977828739,1
4308,145856687,40227122,0.866025
4309,2691309440,939190178,1
4310,1255475023,1549759548,1
4311,2282325169,287067120,1
4312,108146158,2863716447,0.5
4313,1971211453,3037298239,1
4314,3075632478,3389604502,0.707107
4315,29049770,93327360,0.707107
4316,4888653922,95670177,1
4317,3413198241,445861289,0.333333
4318,4264113897,723251650174017536,0.5
4319,4562200215,701164616093712387,1
4320,3302596910,632873556,1
4321,145856687,723261255570608128,1
4322,20181975,353982259,1
4323,1971211453,1974830538,1
4324,1180622503,4264113897,1
4325,2749640440,4562200215,1
4326,1900286719,1974188150,1
4327,247304584,85080476,1
4328,1974188150,1974868602,1
4329,1975455086,1977061699,1
4330,1255475023,365819232,1
4331,4419316115,618587448,1
4332,15755071,36783236,0.816497
4333,1974125191,4547154629,1
4334,1104128448,541328418,1
4335,1975395252,1977169441,1
4336,29049770,31122582,0.5
4337,1549759548,75392146,1
4338,2992942526,992148966,0.5
4339,108986439,723251650174017536,0.5
4340,2282325169,920798731,1
4341,749744611,790779761521856514,0.816497
4342,2446943442,2848705919,1
4343,120100776,2506040580,0.5
4344,3249313867,463422854,1
4345,2864142413,741575693646102528,1
4346,3201162010,3825968584,1
4347,1040408522,3331551052,1
4348,1974830538,1975427846,1
4349,1338726187,3688970849,1
4350,1974981223,1975427846,1
4351,749744611,93327360,1
4352,325053871,3688970849,1
4353,155223088,242157832,1
4354,2859241221,541328418,1
4355,1974868602,3037298239,1
4356,1104128448,2415685429,1
4357,1977140114,4547154629,1
4358,341568813,701846710381891584,1
4359,2494139340,90507896,1
4360,1407958339,2165136621,1
4361,1974868602,3043507956,1
4362,303076383,477191708,1
4363,3377478999,785317194695577605,0.707107
4364,145856687,797176328,0.408248
4365,365819232,733803430007955456,1
4366,2992942526,786374824948105216,0.5
4367,1255475023,36783236,0.866025
4368,456874126,715681775717060608,1
4369,265245636,2749640440,1
4370,2892368815,754817647,1
4371,255988147,291846447,1
4372,122025735,2446943442,1
4373,242171965,88893451,1
4374,2997250788,723261255570608128,0.288675
4375,1407958339,44959884,0.707107
4376,245385426,3254856364,1
4377,265245636,80965639,1
4378,2777610968,3249313867,1
4379,18067164,2496377724,1
4380,1975455086,4547154629,1
4381,1668265830,349632099,1
4382,2319339266,48670786,0.408248
4383,1970627820,1977140114,1
4384,1969769202,1975455086,1
4385,3825968584,390208861,0.447214
4386,207046341,255988147,0.707107
4387,36783236,797176328,0.353553
4388,3377478999,712976695,0.707107
4389,1974188150,4547154629,1
4390,2853872685,3340908196,0.816497
4391,456874126,796145502,0.5
4392,1658846071,259383450,0.707107
4393,3710528536,4619070748,1
4394,120100776,992148966,1
4395,11886822,2506040580,0.5
4396,1977061699,1977910574,1
4397,26235861,463422854,1
4398,3104917149,3688970849,1
4399,1975427846,3037298239,1
4400,1977910574,618839438,1
4401,1558645760,3305171909,1
4402,2864142413,712405808789757953,1
4403,2211027127,521142615,0.894427
4404,3413198241,40227122,0.288675
4405,200959708,68741628,1
4406,2506040580,736905000593575936,0.408248
4407,15755071,3413198241,0.235702
4408,227490287,255988147,1
4409,1970627820,1977061699,1
4410,1549759548,3413198241,0.333333
4411,1668265830,712976695,0.707107
4412,2997250788,98764683,0.288675
4413,1975455086,1978022473,1
4414,613796565,704506110665990144,1
4415,68741628,85080476,1
4416,2327434344,2928019319,1
4417,790779761521856514,93327360,0.816497
4418,2864142413,2883583489,1
4419,36783236,75392146,0.866025
4420,120100776,222566126,0.5
4421,1977169441,1977910574,1
4422,245943898,96601448,0.57735
4423,134552828,2607354599,0.707107
4424,1970627820,1975455086,1
4425,1970627820,1978022473,1
4426,1974188150,1974981223,1
4427,1975427846,1977140114,1
4428,1973545422,1977828739,1
4429,1974188150,1975427846,1
4430,221963057,2831617950,1
4431,3254856364,461803364,1
4432,1969712454,1974188150,1
4433,1977169441,3052032968,1
4434,88893451,933182024,1
4435,194591543,390208861,0.447214
4436,1969769202,1975427846,1
4437,3050068869,797794080180895744,0.447214
4438,1969368720,1975395252,1
4439,4521330855,796782916491612160,1
4440,742826933075877889,787002854338854917,0.707107
4441,1977140114,3052032968,1
4442,3413198241,723261255570608128,0.333333
4443,445861289,774686030406365184,0.866025
4444,1969368720,3052032968,1
4445,3063952985,746736462050267136,1
4446,322879013,745319037677211652,1
4447,445861289,75392146,1
4448,1975427846,1977169441,1
4449,237994971,754817647,1
4450,2488878284,720875149,1
4451,2997250788,755547494369660928,0.288675
4452,445861289,521754789,0.57735
4453,1977169441,1978022473,1
4454,397467224,805117810343079936,1
4455,145856687,755547494369660928,1
4456,4776169636,937019478,1
4457,448250130,904349491,1
4458,3404728337,712976695,0.816497
4459,2327434344,723251650174017536,0.5
4460,3302596910,34705680,1
4461,19669334,788748702483611648,0.5
4462,1057363958,134552828,0.707107
4463,28611453,4352293774,1
4464,3104917149,772591272993361920,1
4465,274667122,3404728337,0.57735
4466,424083365,920798731,1
4467,2972875817,4559222536,0.447214
4468,1969420729,1971211453,1
4469,774686030406365184,797176328,0.353553
4470,1974830538,1977140114,1
4471,1975427846,4547154629,1
4472,18707435,749744611,1
4473,222566126,3389604502,0.5
4474,31288110,75392146,0.408248
4475,67548991,758491329894748160,1
4476,720309635853365249,939190178,1
4477,1977061699,3052032968,1
4478,242171965,298452157,1
4479,145856687,2997250788,0.288675
4480,2211027127,302174491,0.516398
4481,1969420729,1969769202,1
4482,2863716447,3413198241,0.288675
4483,2461112153,4496549793,0.288675
4484,122448174,15502903,1
4485,2955544497,787002854338854917,1
4486,250704226,291846447,1
4487,1973545422,1974868602,1
4488,3413198241,36783236,0.288675
4489,1900286719,1977910574,1
4490,2319339266,2691309440,0.408248
4491,2928019319,30920319,1
4492,1969368720,1974830538,1
4493,1975395252,1975427846,1
4494,245573252,298452157,1
4495,18727629,2607354599,1
4496,1974830538,1975395252,1
4497,2446943442,2853872685,1
4498,1974830538,3043507956,1
4499,1969769202,1977061699,1
4500,3055864294,4831284916,0.5
4501,772591272993361920,779254002294878208,1
4502,45608857,786374824948105216,0.5
4503,47080825,87481029,1
4504,1978022473,4547154629,1
4505,755547494369660928,757364653014016000,0.666667
4506,28615971,613796565,1
4507,18727629,93020729,1
4508,3075632478,45608857,0.707107
4509,1969769202,1977140114,1
4510,461803364,754817647,1
4511,797176328,98764683,0.408248
4512,200959708,766735508865032192,0.333333
4513,2506040580,253677176,0.5
4514,3300307786,797794080180895744,0.316228
4515,237994971,618587448,1
4516,1171556562,303709614,0.288675
4517,592185078,792803253406822400,1
4518,780646765829562369,797794080180895744,0.169031
4519,1549759548,521754789,0.57735
4520,15755071,755547494369660928,0.942809
4521,2506040580,992148966,0.5
4522,15502903,937019478,1
4523,29049770,790779761521856514,0.866025
4524,333565814,805905864,1
4525,3387188439,742826933075877889,0.707107
4526,1977910574,1978022473,1
4527,1407958339,3825968584,1
4528,255988147,4264113897,1
4529,1973545422,3052032968,1
4530,1977061699,3037298239,1
4531,20338242,449600949,0.408248
4532,2282325169,424083365,1
4533,1970627820,1977910574,1
4534,3305171909,780252826299666432,1
4535,1407958339,2972875817,1
4536,2488878284,298452157,1
4537,3377478999,3404728337,0.57735
4538,2488878284,933182024,1
4539,1975427846,1975455086,1
4540,2864142413,3104917149,1
4541,145856687,445861289,1
4542,733803430007955456,98764683,1
4543,15502903,4264113897,1
4544,15502903,255988147,1
4545,1975427846,618839438,1
4546,4654741997,95502178,0.57735
4547,1255475023,3413198241,0.333333
4548,2992942526,45608857,0.5
4549,18018468,45838753,1
4550,4562200215,704506110665990144,1
4551,253677176,95220220,0.707107
4552,145856687,3413198241,0.333333
4553,255988147,442077506,1
4554,222566126,253677176,0.5
4555,2195634502,2945460816,1
4556,207046341,4776169636,0.707107
4557,333565814,42624414,1
4558,15755071,40227122,0.816497
4559,250704226,4776169636,1
4560,1974868602,1978022473,1
4561,713026548014694400,74265783,0.57735
4562,365819232,445861289,1
4563,207046341,723251650174017536,0.353553
4564,1974868602,1974981223,1
4565,207046341,3340908196,0.57735
4566,292236047,448250130,1
4567,1265666203,705814755869470720,1
4568,1900286719,1975455086,1
4569,1971211453,1977061699,1
4570,255988147,2848705919,1
4571,1970627820,618839438,1
4572,1324655137,3081581745,1
4573,1047497299,904349491,1
4574,222566126,2992942526,0.5
4575,790779761521856514,930084780,0.816497
4576,1107329186,317927128,0.707107
4577,1228600868,2928019319,1
4578,2864142413,772591272993361920,1
4579,2858541770,328484372,1
4580,265245636,805905864,1
4581,1969368720,1977140114,1
4582,1969769202,1977169441,1
4583,3104917149,741575693646102528,1
4584,265245636,704506110665990144,1
4585,1974125191,3052032968,1
4586,2997250788,40227122,0.25
4587,40227122,74265783,0.5
